"","season","Species","date","PlantNumber","Leaf","ea","ln_a","tcrit"
"24","fall","Rhododendron calendulaceum",20230918,"X27231","L2",288.347431287928,104.929923168962,45.6133333333333
"25","fall","Rhododendron calendulaceum",20230918,"X27231","L3",218.433558089192,78.7414672977325,44.93
"26","fall","Rhododendron calendulaceum",20230918,"X27231","L4",309.21316783605,112.347449546376,46.38
"27","fall","Rhododendron calendulaceum",20230918,"X27231","L5",269.607772532568,97.5667226849274,44.3433333333333
"28","spring","Abies balsamea",20230525,"X21186","L1",478.500418592453,180.209132703125,40.0133333333333
"29","spring","Abies balsamea",20230525,"X21186","L2",519.874556288561,195.321060928447,40.3166666666667
"30","spring","Abies balsamea",20230525,"X21186","L3",267.109639218478,99.7201414722028,37.6433333333333
"31","spring","Abies balsamea",20230525,"X21186","L4",359.115016077431,134.207111068764,39.4666666666667
"32","spring","Abies balsamea",20230525,"X21186","L5",357.216307798571,133.62181874961,39.1266666666667
"33","spring","Abies balsamea",20230525,"X23956","L1",359.226793139828,134.78510589029,39.0333333333333
"34","spring","Abies balsamea",20230525,"X23956","L2",318.169769276627,119.268592806708,37.9066666666667
"35","spring","Abies balsamea",20230525,"X23956","L3",346.398923911666,130.067760389603,38.535
"36","spring","Abies balsamea",20230525,"X23956","L4",284.040613907873,106.048839045861,38.3233333333333
"37","spring","Abies balsamea",20230525,"X23956","L5",334.030157921477,124.786897832958,37.64
"38","spring","Abies balsamea",20230525,"X27312","L1",299.999203103934,111.932999986098,39.395
"39","spring","Abies balsamea",20230525,"X27312","L2",374.071505646595,140.187878785237,38.8433333333333
"40","spring","Abies balsamea",20230525,"X27312","L3",558.823570832741,210.548066891373,40.4066666666667
"41","spring","Abies balsamea",20230525,"X27312","L4",344.356824815947,129.054893432759,37.76
"42","spring","Abies balsamea",20230525,"X27312","L5",319.617180193553,120.039558171193,37.4933333333333
"43","spring","Polystichum imbricans subsp. imbricans",20230529,"X21700","L1",332.580206865411,123.842291299524,40.04
"44","spring","Polystichum imbricans subsp. imbricans",20230529,"X21700","L2",392.635678762028,146.524876712381,40.9833333333333
"45","spring","Polystichum imbricans subsp. imbricans",20230529,"X24660","L1",330.451566847439,122.95692732378,40.976
"46","spring","Polystichum imbricans subsp. imbricans",20230529,"X24660","L2",357.082050752924,133.257429747852,40.5644444444444
"47","spring","Polystichum imbricans subsp. imbricans",20230529,"X26299","L1",394.010841108711,146.357305330536,43.0566666666667
"48","spring","Polystichum imbricans subsp. imbricans",20230529,"X26299","L2",385.287142812572,143.374138179025,42.9166666666667
"49","summer","Abies balsamea",20230721,"X21851","L1",345.871141937436,127.453037200268,43.68
"50","summer","Abies balsamea",20230721,"X21851","L2",331.105361424347,122.027108998901,43.3266666666667
"51","summer","Abies balsamea",20230721,"X21851","L3",329.332615393366,120.975030372547,43.3833333333333
"52","summer","Abies balsamea",20230721,"X22547","L1",394.25016115314,145.965978536768,43.52
"53","summer","Abies balsamea",20230721,"X22547","L2",375.62985894462,138.758890222152,43.165
"54","summer","Abies balsamea",20230721,"X22547","L3",290.121679464627,106.35017388342,43.295
"55","summer","Abies balsamea",20230721,"X23073","L1",284.72940241825,104.702642544602,42.3
"56","summer","Abies balsamea",20230721,"X23073","L2",320.258795941801,118.425391850098,41.768
"57","summer","Abies balsamea",20230721,"X23073","L3",254.44682583988,93.7012778891969,40.0466666666667
"58","summer","Polystichum imbricans subsp. imbricans",20230725,"X21000","L1",327.391194341158,120.374849683006,43.98375
"59","summer","Polystichum imbricans subsp. imbricans",20230725,"X21000","L2",318.6613545989,117.406711773422,43.4833333333333
"60","summer","Polystichum imbricans subsp. imbricans",20230725,"X25826","L1",434.28923945413,160.896182041377,44.1588888888889
"61","summer","Polystichum imbricans subsp. imbricans",20230725,"X25826","L2",330.238144792708,122.340194554444,41.68
"62","summer","Polystichum imbricans subsp. imbricans",20230725,"X29351","L1",337.547018909661,125.278555073288,41.0025
"63","summer","Polystichum imbricans subsp. imbricans",20230725,"X29351","L2",353.632448096342,130.771356894195,42.3916666666667
"64","summer","Rhododendron calendulaceum",20230719,"X26494","L1",387.733002445073,141.232121576676,47.3933333333333
"65","summer","Rhododendron calendulaceum",20230719,"X26494","L2",413.282063619092,150.77475275687,46.69
"66","summer","Rhododendron calendulaceum",20230719,"X26494","L3",281.56881496957,102.300020604217,46.385
"67","summer","Rhododendron calendulaceum",20230719,"X26494","L4",405.881380817722,147.843770249758,47.4266666666667
"68","summer","Rhododendron calendulaceum",20230719,"X26494","L5",574.477230023054,210.390897592898,48.0033333333333
"69","summer","Rhododendron calendulaceum",20230719,"X28625","L1",528.621985643555,193.696308173025,46.77
"70","summer","Rhododendron calendulaceum",20230719,"X28625","L2",480.795587807186,175.835013098743,47.2533333333333
"71","summer","Rhododendron calendulaceum",20230719,"X28625","L3",391.273789864526,142.842005244864,46.04
"72","summer","Rhododendron calendulaceum",20230719,"X28625","L4",423.822533084672,154.352807241346,46.77
"73","summer","Rhododendron calendulaceum",20230719,"X28625","L5",391.01330896702,142.687724709452,47.0333333333333
"74","summer","Rhododendron calendulaceum",20230719,"X29963","L1",517.29375723551,189.650440544818,47.7833333333333
"75","summer","Rhododendron calendulaceum",20230719,"X29963","L2",511.899938915499,187.389952171947,48.1033333333333
"76","summer","Rhododendron calendulaceum",20230719,"X29963","L3",506.236165296086,185.351712164659,47.7733333333333
"77","summer","Rhododendron calendulaceum",20230719,"X29963","L4",254.1557666532,93.216561862851,42.22
"78","summer","Rhododendron calendulaceum",20230719,"X29963","L5",432.06098466976,158.612708178971,45.77
